s,m,m,m,m,m,m,m,m,m,m,m,m,m,m,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"SD.000","SD.001","SD.002","SD.003","SD.004","SD.005","SD.006","SD.007","SD.008","SD.009","SD.010","SD.011","SD.012","SD.013","TD.000","TD.001","TD.002","TD.003","TD.004","TD.005","TD.006","TD.007","TD.008","TD.009","TD.010","TD.011","TD.012","TD.013","TD.014"
 1.3851785E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 2.0000172E+001, 2.0000090E+001, 2.0000389E+001, 2.0000111E+001, 2.0000451E+001, 2.0000393E+001, 2.0000548E+001, 1.9999999E+001, 2.0000178E+001, 1.9999979E+001, 2.0000475E+001, 2.0000111E+001, 1.9999836E+001, 1.9999969E+001
 1.4458432E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 2.0000185E+001, 2.0000096E+001, 2.0000393E+001, 2.0000120E+001, 2.0000463E+001, 2.0000399E+001, 2.0000571E+001, 2.0000000E+001, 2.0000187E+001, 1.9999987E+001, 2.0000495E+001, 2.0000119E+001, 1.9999833E+001, 1.9999973E+001
 1.5065080E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 2.0000198E+001, 2.0000103E+001, 2.0000397E+001, 2.0000130E+001, 2.0000475E+001, 2.0000406E+001, 2.0000595E+001, 2.0000001E+001, 2.0000196E+001, 1.9999996E+001, 2.0000516E+001, 2.0000128E+001, 1.9999831E+001, 1.9999978E+001
 1.5671728E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 2.0000213E+001, 2.0000110E+001, 2.0000402E+001, 2.0000141E+001, 2.0000487E+001, 2.0000414E+001, 2.0000619E+001, 2.0000004E+001, 2.0000207E+001, 2.0000006E+001, 2.0000538E+001, 2.0000137E+001, 1.9999830E+001, 1.9999984E+001
 1.6278375E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 2.0000230E+001, 2.0000119E+001, 2.0000407E+001, 2.0000154E+001, 2.0000500E+001, 2.0000422E+001, 2.0000645E+001, 2.0000008E+001, 2.0000218E+001, 2.0000018E+001, 2.0000560E+001, 2.0000148E+001, 1.9999831E+001, 1.9999991E+001
 1.6885023E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 2.0000248E+001, 2.0000128E+001, 2.0000414E+001, 2.0000167E+001, 2.0000515E+001, 2.0000431E+001, 2.0000672E+001, 2.0000014E+001, 2.0000231E+001, 2.0000031E+001, 2.0000584E+001, 2.0000160E+001, 1.9999833E+001, 2.0000000E+001
 1.7491670E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 2.0000269E+001, 2.0000139E+001, 2.0000422E+001, 2.0000183E+001, 2.0000530E+001, 2.0000442E+001, 2.0000700E+001, 2.0000021E+001, 2.0000245E+001, 2.0000047E+001, 2.0000610E+001, 2.0000173E+001, 1.9999837E+001, 2.0000012E+001
 1.8098318E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 2.0000292E+001, 2.0000152E+001, 2.0000431E+001, 2.0000200E+001, 2.0000548E+001, 2.0000455E+001, 2.0000729E+001, 2.0000030E+001, 2.0000261E+001, 2.0000064E+001, 2.0000637E+001, 2.0000189E+001, 1.9999843E+001, 2.0000025E+001
 1.8603857E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 2.0000316E+001, 2.0000166E+001, 2.0000442E+001, 2.0000218E+001, 2.0000565E+001, 2.0000468E+001, 2.0000759E+001, 2.0000040E+001, 2.0000278E+001, 2.0000082E+001, 2.0000664E+001, 2.0000205E+001, 1.9999850E+001, 2.0000040E+001
 1.9210505E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 2.0000343E+001, 2.0000182E+001, 2.0000455E+001, 2.0000239E+001, 2.0000585E+001, 2.0000484E+001, 2.0000789E+001, 2.0000053E+001, 2.0000296E+001, 2.0000103E+001, 2.0000693E+001, 2.0000223E+001, 1.9999860E+001, 2.0000056E+001
 1.9817152E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 2.0000375E+001, 2.0000202E+001, 2.0000472E+001, 2.0000263E+001, 2.0000608E+001, 2.0000503E+001, 2.0000826E+001, 2.0000069E+001, 2.0000319E+001, 2.0000128E+001, 2.0000727E+001, 2.0000245E+001, 1.9999873E+001, 2.0000077E+001
